id,name,organization,category,subcategory,region,country,audience,eligibility,url,apply_url,deadline,deadline_type,status,compensation,compensation_details,location_type,location,duration,cohort_season,tags,description,source,source_type,date_added,last_verified,notes
telora-fellowship,Telora Fellowship,Telora,fellowship,cohort_fellowship,us_canada,US|CA,undergrad|early_career,Young hackers and builders interested in starting startups.,https://telora.com/apply,https://forms.gle/26g6Uyz25dai8XUp8,2026-04-24,fixed,open,grant,$10000,,,10 weeks,summer,fellowship|startup|hackers,Fellowship that helps hackers start startups. Application process designed to help you succeed. Light on words heavy on actions.,Official website,official,2026-03-07,2026-03-07,
unusual-academy,Unusual Academy,Unusual Ventures,accelerator,startup_accelerator,us,US,founder,Teams of 2-4 members with at least 1 technical co-founder. US-incorporated companies at any stage from idea to production.,https://new.unusual.vc/academy,https://new.unusual.vc/academy,rolling,rolling,open,equity,Up to $1M uncapped SAFE + 3% program fee,in_person,Menlo Park CA,1 week,year_round,accelerator|enterprise|startup|sf,Intensive one-week program in the Bay Area focused on product-market fit. Personalized mentorship from top enterprise software founders. Curriculum runs counter to conventional VC accelerator advice.,Official website,official,2026-03-07,2026-03-07,
pearx,PearX Accelerator,Pear VC,accelerator,startup_accelerator,us,US,founder,Founders building part-time or full-time. Strong focus on AI companies.,https://pear.vc/pearx-w26-apps-now-open/,https://pear.vc/pearx-application/,2026-09-13,fixed,open,equity,Up to $250K uncapped SAFE,in_person,San Francisco,8 weeks,,accelerator|ai|startup|sf,Small batch accelerator for elite founders. Over 90% of companies raise a seed round after the program.,Official website,official,2026-03-07,2026-03-07,
next-36,NEXT 36,NEXT Canada,accelerator,startup_accelerator,canada,CA,undergrad|recent_grad,Individual application. All eligible co-founders should also apply separately.,https://www.nextcanada.com/next-36/,https://airtable.com/appl9JP8wsxwv4fws/pagTfVON2MbVH6Xp4/form,,fixed,unknown,grant,,in_person,,varies,summer,canada|innovation|startup|entrepreneurship,Selects 36 of the most entrepreneurial undergrads and recent grads from coast-to-coast who have what it takes to build Canada's next unicorn.,Official website,official,2026-03-07,2026-03-07,Check website for current cycle deadline
soma-fellows,Soma Fellows,Soma Capital,fellowship,cohort_fellowship,us,US,founder,,https://programs.somacap.com/fellows,,rolling,rolling,open,equity,Up to $2M uncapped SAFE at 0% equity,,,varies,,fellowship|startup|vc,Up to $2M uncapped funding. Join 30+ unicorn founders. Build the next Fortune 500 company. No equity dilution.,Official website,official,2026-03-07,2026-03-07,
ai2-incubator,AI2 Incubator,AI2 Incubator,accelerator,startup_accelerator,us,US,phd|early_career|founder,Top-tier founders creating AI-first startups. Seattle-based program.,https://www.ai2incubator.com/,https://apply.ai2incubator.com/,rolling,rolling,open,equity,Up to $600K + up to $1M in compute credits,hybrid,Seattle,12 months,,accelerator|ai|ml|startup,Born from the Allen Institute for AI. Leverages deep technical expertise and Pacific Northwest AI community to help build transformative AI-first companies.,Official website,official,2026-03-07,2026-03-07,
recurse-center,Recurse Center,Recurse Center,fellowship,community_program,global,,early_career,Must already know how to code. Self-directed programmers looking to improve.,https://www.recurse.com/,https://www.recurse.com/apply,rolling,rolling,open,grant,Up to $7000 living grant (12-week batch),in_person,New York City,6-12 weeks,year_round,programming|community|nyc|open_source,Self-directed community-driven educational retreat for programmers in NYC. Choose 6-week or 12-week batches. Living expense grants available.,Official website,official,2026-03-07,2026-03-07,
included-vc,Included VC Fellowship,Included VC,fellowship,cohort_fellowship,global,,early_career,Aspiring VCs serious about breaking into the venture capital industry.,https://included.vc/,https://included.vc/#rec553115690,,,upcoming,unpaid,Fully funded program (no stipend),remote,,6 months,,diversity|fellowship|vc,Mission to increase diversity in venture capital. Part-time (15+ hrs/week) alongside work or study. Masterclasses and workshops with leading global VC funds.,Official website,official,2026-03-07,2026-03-07,
8vc-fellowship,8VC Fellowship,8VC,fellowship,cohort_fellowship,us,US,undergrad,Undergraduate students placed in contributing roles at innovative startups.,https://www.8vc.com/fellowships,https://www.meritfirst.us/candidate/tests/9e872f40-2a8e-415c-9f73-05ca0b05b460,,,open,stipend,,in_person,,3 months,summer,fellowship|startup|vc,Immersive three-month internship program placing undergrads in contributing roles at some of the world's most innovative startups.,Official website,official,2026-03-07,2026-03-07,
afore-gamma,Afore x Gamma Fund,Afore Capital,fellowship,cohort_fellowship,us,US,founder,Open to pre-product and pre-revenue teams.,https://www.afore.vc/gamma,https://datacurve.ai/,rolling,rolling,open,equity,,in_person,,10 weeks,spring,startup|vc|ai|pre-seed,Ideas to reality fund. Gamma is a promotional partner only. All investment decisions made solely by Afore Capital.,Official website,official,2026-03-07,2026-03-07,Feb 24 through Mar 24 2026 application window
neo-scholars,Neo Scholars,Neo,fellowship,,global,,undergrad,Undergraduates who excel at CS.,https://neo.com/scholars,,,,unknown,,,,,,,fellowship|cs,Scholarship program for outstanding undergraduate CS students.,Official website,official,2026-03-07,2026-03-07,
spc-founder-fellowship,SPC Founder Fellowship,South Park Commons,fellowship,cohort_fellowship,us,US,early_career|founder,Anyone in the midst of or thinking about a professional transition looking for a talent-dense community of intentional builders.,https://www.southparkcommons.com/founder-fellowship,https://www.southparkcommons.com/apply,rolling,rolling,open,equity,"$1M total: $400K for 7% equity upfront, $600K guaranteed in next outside-led round",in_person,"SF, NYC, or Bangalore",varies,,fellowship|startup|sf|nyc,Guided path through -1 to 0 for founders committed to starting a venture-scale company. Partner mentorship small peer cohorts and no set deadlines or demo days.,Official website,official,2026-03-07,2026-03-07,
hf0-residency,HF0 Residency,HF0,accelerator,startup_accelerator,us,US,founder,Repeat and high-performing technical founders.,https://www.hf0.com/,https://www.hf0.com/apply,rolling,rolling,open,equity,$1M uncapped SAFE for 5% equity,in_person,,12 weeks,,accelerator|founders|startup,Residency for repeat founders. Provides housing meals and removes all logistical barriers. Environment engineered for flow and deep work.,Official website,official,2026-03-07,2026-03-07,
776-fellowship,776 Foundation Fellowship,776 Foundation,fellowship,cohort_fellowship,global,,undergrad|early_career,Ages 18-24 from anywhere in the world. May not be enrolled in higher education during the fellowship.,https://776.org/,,,,unknown,grant,$100000 over 2 years,varies,,2 years,,fellowship|climate|grant,Twenty fellowships of $100K each awarded per cycle. Unrestricted funding for whatever you need to bring your idea to life. Founded by Alexis Ohanian. Access to 776 founder networks and resources.,Official website,official,2026-03-07,2026-03-07,Runs every other year
cansbridge-fellowship,Cansbridge Fellowship,Cansbridge Fellowship,fellowship,cohort_fellowship,canada,CA,undergrad,Undergraduates enrolled in a Canadian college or university pursuing business science design or technology.,https://cansbridgefellowship.com/,https://cansbridgefellowship.com/apply,,,upcoming,grant,$10000 grant for Asia internship,in_person,,10 weeks,,fellowship|canada|international,Canada's launchpad for the next generation of founders and leaders. Includes international work experience in Asia and a conference in San Francisco.,Official website,official,2026-03-07,2026-03-07,
sequoia-arc,Sequoia Arc,Sequoia Capital,accelerator,startup_accelerator,us,US,founder,Pre-seed and seed stage founders.,https://www.sequoiacap.com/arc/,https://www.sequoiacap.com/arc/apply,,,open,equity,,hybrid,,varies,,accelerator|startup|vc,Bi-annual open call for outlier early-stage founders. Small cohorts of ~10 companies with 1:1 time with Sequoia team. Access to Ampersand digital hub and Builder community.,Official website,official,2026-03-07,2026-03-07,Sign up for notifications when applications open
fr8-fellowship,FR8,FR8,fellowship,,global,,founder,,https://fr8.so/,,,,unknown,,,,,,,fellowship|founders,Where young mavericks build the future. Program for founders nerds and scientists working at the frontier.,Official website,official,2026-03-07,2026-03-07,
unshackled-ventures,Unshackled Ventures,Unshackled Ventures,accelerator,startup_accelerator,us,US,founder,Immigrant founders who need visa sponsorship to build in the US.,https://www.unshackledvc.com/,https://www.unshackledvc.com/,rolling,rolling,open,equity,$150K for 10% equity (founder-in-residence) or pre-seed round under $1M,in_person,US,,year_round,diversity|startup|immigration|vc,The only VC firm exclusively backing immigrant founders through green card support. 200+ founders sponsored with 100% visa filing success rate. Full immigration support and community.,Official website,official,2026-03-07,2026-03-07,
palantir-startup-fellowship,Palantir Startup Fellowship,Palantir,fellowship,cohort_fellowship,us,US,founder,Series B or earlier-stage startup. At least one dev committed full-time. Must be committed to building on AIP.,https://www.palantir.events/startup-fellowship-002-apply,https://www.palantir.events/startup-fellowship-002-apply,2026-03-17,fixed,open,unpaid,Free access to Palantir AIP platform + dedicated engineering support,,,8 weeks,,startup|ai|enterprise,Elite cohort of startups building agentic AI products on Palantir AIP with hands-on support from Palantir team. Ship your product in 8 weeks. Equity-free.,Official website,official,2026-03-07,2026-03-07,Cohort 002 runs mid-April to mid-June 2026
